"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"201709";SUDESTE;521.83
"201709";SUL;521.83
"201710";NORDESTE;533.82
"201710";NORTE;533.82
"201710";SUDESTE;533.82
"201710";SUL;533.82
"201711";NORDESTE;425.18
"201711";NORTE;425.18
"201711";SUDESTE;425.17
"201711";SUL;425.17
"201712";NORDESTE;234.2
"201712";NORTE;233.27
"201712";SUDESTE;235.07
"201712";SUL;235.29
"201801";NORDESTE;178.01
"201801";NORTE;142.23
"201801";SUDESTE;180.07
"201801";SUL;177.82
"201802";NORDESTE;178.54
"201802";NORTE;42.91
"201802";SUDESTE;188.79
"201802";SUL;188.54
"201803";NORDESTE;218.14
"201803";NORTE;40.16
"201803";SUDESTE;219.23
"201803";SUL;219.23
"201804";NORDESTE;108.64
"201804";NORTE;51.13
"201804";SUDESTE;109.71
"201804";SUL;109.71
"201805";NORDESTE;211.57
"201805";NORTE;159.47
"201805";SUDESTE;325.46
"201805";SUL;325.46
"201806";NORDESTE;441.96
"201806";NORTE;441.96
"201806";SUDESTE;472.87
"201806";SUL;472.87
"201807";NORDESTE;505.18
"201807";NORTE;505.18
"201807";SUDESTE;505.18
"201807";SUL;505.18
"201808";NORDESTE;505.18
"201808";NORTE;505.18
"201808";SUDESTE;505.18
"201808";SUL;505.18
"201809";NORDESTE;472.75
"201809";NORTE;473.58
"201809";SUDESTE;472.75
"201809";SUL;472.75
"201810";NORDESTE;271.83
"201810";NORTE;271.83
"201810";SUDESTE;271.83
"201810";SUL;271.83
"201811";NORDESTE;123.92
"201811";NORTE;123.92
"201811";SUDESTE;123.92
"201811";SUL;123.92
"201812";NORDESTE;71.13
"201812";NORTE;51.61
"201812";SUDESTE;78.96
"201812";SUL;78.96
"201901";NORDESTE;84.76
"201901";NORTE;74.19
"201901";SUDESTE;192.1
"201901";SUL;192.1
"201902";NORDESTE;164.24
"201902";NORTE;45.28
"201902";SUDESTE;443.66
"201902";SUL;443.67
"201903";NORDESTE;154.15
"201903";NORTE;42.35
"201903";SUDESTE;234.49
"201903";SUL;234.49
